MetaPop,Site_ID,Site,Sample,Test,Sample.geno,ID,Genomic_tag,Genomic_ID,Collected,Lat,Long,Height
Bass Harbor East,BE,Bass Harbor East,01,BE01,BE01,BHE_1,.bwa.bam,BHE_1.bwa.bam,29-Jul-22,44.25335,68.34785,0.5
Bass Harbor East,BE,Bass Harbor East,02,BE02,BE02,BHE_2,.bwa.bam,BHE_2.bwa.bam,29-Jul-22,44.2534,68.34784,0.5
Bass Harbor East,BE,Bass Harbor East,03,BE03,BE03,BHE_3,.bwa.bam,BHE_3.bwa.bam,29-Jul-22,44.25354,68.34758,0.5
Bass Harbor East,BE,Bass Harbor East,04,BE04,BE04,BHE_4,.bwa.bam,BHE_4.bwa.bam,29-Jul-22,44.25392,68.34692,1-1.5
Bass Harbor East,BE,Bass Harbor East,05,BE05,BE05,BHE_5,.bwa.bam,BHE_5.bwa.bam,29-Jul-22,44.25393,68.34689,0.5-1
Bass Harbor East,BE,Bass Harbor East,06,BE06,BE06,BHE_6,.bwa.bam,BHE_6.bwa.bam,29-Jul-22,44.25397,68.3468,<0.5
Bass Harbor East,BE,Bass Harbor East,07,BE07,BE07,BHE_7,.bwa.bam,BHE_7.bwa.bam,29-Jul-22,44.25399,68.34674,0.5-1
Bass Harbor East,BE,Bass Harbor East,08,BE08,BE08,BHE_8,.bwa.bam,BHE_8.bwa.bam,29-Jul-22,44.254,68.34666,<0.5
Bass Harbor East,BE,Bass Harbor East,09,BE09,BE09,BHE_9,.bwa.bam,BHE_9.bwa.bam,29-Jul-22,44.25402,68.34663,0.5-1
Bass Harbor East,BE,Bass Harbor East,10,BE10,BE10,BHE_10,.bwa.bam,BHE_10.bwa.bam,29-Jul-22,44.25403,68.34664,0.5
Bass Harbor East,BE,Bass Harbor East,11,BE11,BE11,BHE_11,.bwa.bam,BHE_11.bwa.bam,29-Jul-22,44.25405,68.34666,0.5-1
Bass Harbor East,BE,Bass Harbor East,12,BE12,BE12,BHE_12,.bwa.bam,BHE_12.bwa.bam,29-Jul-22,44.25411,68.3467,>3
Bass Harbor East,BE,Bass Harbor East,13,BE13,BE13,BHE_13,.bwa.bam,BHE_13.bwa.bam,29-Jul-22,44.25416,68.34668,0.5-1
Bass Harbor East,BE,Bass Harbor East,14,BE14,BE14,BHE_14,.bwa.bam,BHE_14.bwa.bam,29-Jul-22,44.25416,68.34669,0.5-1
Bass Harbor East,BE,Bass Harbor East,15,BE15,BE15,BHE_15,.bwa.bam,BHE_15.bwa.bam,29-Jul-22,44.25419,68.34664,1-1.5
Bass Harbor East,BE,Bass Harbor East,16,BE16,BE16,BHE_16,.bwa.bam,BHE_16.bwa.bam,29-Jul-22,44.2542,68.34661,1-1.5
Bass Harbor East,BE,Bass Harbor East,17,BE17,BE17,BHE_17,.bwa.bam,BHE_17.bwa.bam,29-Jul-22,44.2542,68.34653,0.5-1
Bass Harbor East,BE,Bass Harbor East,18,BE18,BE18,BHE_18,.bwa.bam,BHE_18.bwa.bam,29-Jul-22,44.25419,68.34648,1-1.5
Bass Harbor East,BE,Bass Harbor East,19,BE19,BE19,BHE_19,.bwa.bam,BHE_19.bwa.bam,29-Jul-22,44.25418,68.34642,<0.5
Bass Harbor East,BE,Bass Harbor East,20,BE20,BE20,BHE_20,.bwa.bam,BHE_20.bwa.bam,29-Jul-22,44.25438,68.34633,0.5-1
Bass Harbor East,BE,Bass Harbor East,21,BE21,BE21,BHE_21,.bwa.bam,BHE_21.bwa.bam,29-Jul-22,44.25441,68.34635,1-1.5
Bass Harbor East,BE,Bass Harbor East,22,BE22,BE22,BHE_22,.bwa.bam,BHE_22.bwa.bam,29-Jul-22,44.25438,68.34641,0.5-1
Bass Harbor East,BE,Bass Harbor East,23,BE23,BE23,BHE_23,.bwa.bam,BHE_23.bwa.bam,29-Jul-22,44.2542,68.34653,0.5-1
Bass Harbor East,BE,Bass Harbor East,25,BE25,BE25,BHE_25,.bwa.bam,BHE_25.bwa.bam,29-Jul-22,44.25416,68.34654,0.5-1
Bass Harbor West,BN,Bass Harbor North,01,BN01,BN01,BHN_1,.bwa.bam,BHN_1.bwa.bam,29-Jul-22,44.25628,68.34726,2-2.5
Bass Harbor West,BN,Bass Harbor North,02,BN02,BN02,BHN_2,.bwa.bam,BHN_2.bwa.bam,29-Jul-22,44.25631,68.34727,0.5-1
Bass Harbor West,BN,Bass Harbor North,03,BN03,BN03,BHN_3,.bwa.bam,BHN_3.bwa.bam,29-Jul-22,44.25632,68.34727,1-1.5
Bass Harbor West,BN,Bass Harbor North,04,BN04,BN04,BHN_4,.bwa.bam,BHN_4.bwa.bam,29-Jul-22,44.25631,68.34728,1
Bass Harbor West,BN,Bass Harbor North,05,BN05,BN05,BHN_5,.bwa.bam,BHN_5.bwa.bam,29-Jul-22,44.25628,68.34724,1
Bass Harbor West,BN,Bass Harbor North,06,BN06,BN06,BHN_6,.bwa.bam,BHN_6.bwa.bam,29-Jul-22,44.25639,68.34714,0.5
Bass Harbor West,BN,Bass Harbor North,07,BN07,BN07,BHN_7,.bwa.bam,BHN_7.bwa.bam,29-Jul-22,44.25637,68.34711,0.5
Bass Harbor West,BN,Bass Harbor North,08,BN08,BN08,BHN_8,.bwa.bam,BHN_8.bwa.bam,29-Jul-22,44.25638,68.34711,1-1.5
Bass Harbor West,BN,Bass Harbor North,09,BN09,BN09,BHN_9,.bwa.bam,BHN_9.bwa.bam,29-Jul-22,44.25639,68.34708,<0.5
Bass Harbor West,BN,Bass Harbor North,10,BN10,BN10,BHN_10,.bwa.bam,BHN_10.bwa.bam,29-Jul-22,44.2564,68.34705,1.5-2
Bass Harbor West,BN,Bass Harbor North,11,BN11,BN11,BHN_11,.bwa.bam,BHN_11.bwa.bam,29-Jul-22,44.25641,68.34705,2-2.5
Bass Harbor West,BN,Bass Harbor North,12,BN12,BN12,BHN_12,.bwa.bam,BHN_12.bwa.bam,29-Jul-22,44.25645,68.34696,1.5-2
Bass Harbor West,BN,Bass Harbor North,13,BN13,BN13,BHN_13,.bwa.bam,BHN_13.bwa.bam,29-Jul-22,44.25647,68.34695,1-1.5
Bass Harbor West,BN,Bass Harbor North,14,BN14,BN14,BHN_14,.bwa.bam,BHN_14.bwa.bam,29-Jul-22,44.25652,68.34694,0.5-1
Bass Harbor West,BN,Bass Harbor North,15,BN15,BN15,BHN_15,.bwa.bam,BHN_15.bwa.bam,29-Jul-22,44.25652,68.34693,0.5-1
Bass Harbor West,BN,Bass Harbor North,16,BN16,BN16,BHN_16,.bwa.bam,BHN_16.bwa.bam,29-Jul-22,44.25656,68.34691,0.5-1
Bass Harbor West,BN,Bass Harbor North,17,BN17,BN17,BHN_17,.bwa.bam,BHN_17.bwa.bam,29-Jul-22,44.25661,68.34698,1
Bass Harbor West,BN,Bass Harbor North,18,BN18,BN18,BHN_18,.bwa.bam,BHN_18.bwa.bam,29-Jul-22,44.25661,68.34697,1-1.5
Bass Harbor West,BN,Bass Harbor North,19,BN19,BN19,BHN_19,.bwa.bam,BHN_19.bwa.bam,29-Jul-22,44.25661,68.34695,1-1.5
Bass Harbor West,BN,Bass Harbor North,20,BN20,BN20,BHN_20,.bwa.bam,BHN_20.bwa.bam,29-Jul-22,44.25663,68.34698,0.5-1
Bass Harbor West,BN,Bass Harbor North,21,BN21,BN21,BHN_21,.bwa.bam,BHN_21.bwa.bam,29-Jul-22,44.25665,68.34702,1
Bass Harbor West,BN,Bass Harbor North,22,BN22,BN22,BHN_22,.bwa.bam,BHN_22.bwa.bam,29-Jul-22,44.25671,68.34711,0.5-1
Bass Harbor West,BN,Bass Harbor North,23,BN23,BN23,BHN_23,.bwa.bam,BHN_23.bwa.bam,29-Jul-22,44.25675,68.34717,0.5-1
Bass Harbor West,BN,Bass Harbor North,24,BN24,BN24,BHN_24,.bwa.bam,BHN_24.bwa.bam,29-Jul-22,44.25679,68.34715,0.5-1
Bass Harbor West,BN,Bass Harbor North,25,BN25,BN25,BHN_25,.bwa.bam,BHN_25.bwa.bam,29-Jul-22,44.2568,68.34716,1
Bass Harbor West,BS,Bass Harbor School,01,BS01,BS01,BHS_1,.bwa.bam,BHS_1.bwa.bam,27-Jul-22,44.25499,68.34978,>3
Bass Harbor West,BS,Bass Harbor School,02,BS02,BS02,BHS_2,.bwa.bam,BHS_2.bwa.bam,27-Jul-22,44.25599,68.3501,1-1.5
Bass Harbor West,BS,Bass Harbor School,03,BS03,BS03,BHS_3,.bwa.bam,BHS_3.bwa.bam,27-Jul-22,44.25602,68.35011,2-2.5
Bass Harbor West,BS,Bass Harbor School,04,BS04,BS04,BHS_4,.bwa.bam,BHS_4.bwa.bam,27-Jul-22,44.25619,68.35014,1
Bass Harbor West,BS,Bass Harbor School,05,BS05,BS05,BHS_5,.bwa.bam,BHS_5.bwa.bam,27-Jul-22,44.25621,68.35014,1.5
Bass Harbor West,BS,Bass Harbor School,06,BS06,BS06,BHS_6,.bwa.bam,BHS_6.bwa.bam,27-Jul-22,44.25625,68.35013,1.5-2
Bass Harbor West,BS,Bass Harbor School,07,BS07,BS07,BHS_7,.bwa.bam,BHS_7.bwa.bam,27-Jul-22,44.25631,68.35017,1
Bass Harbor West,BS,Bass Harbor School,08,BS08,BS08,BHS_8,.bwa.bam,BHS_8.bwa.bam,27-Jul-22,44.25634,68.35023,2.5
Bass Harbor West,BS,Bass Harbor School,09,BS09,BS09,BHS_9,.bwa.bam,BHS_9.bwa.bam,27-Jul-22,44.25636,68.35031,1-1.5
Bass Harbor West,BS,Bass Harbor School,10,BS10,BS10,BHS_10,.bwa.bam,BHS_10.bwa.bam,27-Jul-22,44.25636,68.35031,>3
Bass Harbor West,BS,Bass Harbor School,11,BS11,BS11,BHS_11,.bwa.bam,BHS_11.bwa.bam,27-Jul-22,44.25635,68.35034,>3
Bass Harbor West,BS,Bass Harbor School,12,BS12,BS12,BHS_12,.bwa.bam,BHS_12.bwa.bam,27-Jul-22,44.25636,68.35036,>3
Bass Harbor West,BS,Bass Harbor School,13,BS13,BS13,BHS_13,.bwa.bam,BHS_13.bwa.bam,27-Jul-22,44.25635,68.35036,>3
Bass Harbor West,BS,Bass Harbor School,14,BS14,BS14,BHS_14,.bwa.bam,BHS_14.bwa.bam,27-Jul-22,44.25636,68.35033,2.5-3
Bass Harbor West,BS,Bass Harbor School,15,BS15,BS15,BHS_15,.bwa.bam,BHS_15.bwa.bam,27-Jul-22,44.25641,68.35031,>3
Bass Harbor West,BS,Bass Harbor School,16,BS16,BS16,BHS_16,.bwa.bam,BHS_16.bwa.bam,27-Jul-22,44.25644,68.35032,2.5-3
Bass Harbor West,BS,Bass Harbor School,17,BS17,BS17,BHS_17,.bwa.bam,BHS_17.bwa.bam,27-Jul-22,44.25649,68.3503,1-1.5
Bass Harbor West,BS,Bass Harbor School,18,BS18,BS18,BHS_18,.bwa.bam,BHS_18.bwa.bam,27-Jul-22,44.2566,68.35035,2
Bass Harbor West,BS,Bass Harbor School,19,BS19,BS19,BHS_19,.bwa.bam,BHS_19.bwa.bam,27-Jul-22,44.25673,68.3504,2
Bass Harbor West,BS,Bass Harbor School,20,BS20,BS20,BHS_20,.bwa.bam,BHS_20.bwa.bam,27-Jul-22,44.25651,68.3503,1.5
Bass Harbor West,BS,Bass Harbor School,21,BS21,BS21,BHS_21,.bwa.bam,BHS_21.bwa.bam,27-Jul-22,44.25646,68.35025,1-1.5
Bass Harbor West,BS,Bass Harbor School,22,BS22,BS22,BHS_22,.bwa.bam,BHS_22.bwa.bam,27-Jul-22,44.25645,68.35027,1-1.5
Bass Harbor West,BS,Bass Harbor School,23,BS23,BS23,BHS_23,.bwa.bam,BHS_23.bwa.bam,27-Jul-22,44.25597,68.35033,1.5-2
Bass Harbor West,BS,Bass Harbor School,24,BS24,BS24,BHS_24,.bwa.bam,BHS_24.bwa.bam,27-Jul-22,44.25603,68.35062,1-1.5
Bass Harbor West,BS,Bass Harbor School,25,BS25,BS25,BHS_25,.bwa.bam,BHS_25.bwa.bam,27-Jul-22,44.25612,68.3508,2.5-3
Bass Harbor West,BW,Bass Harbor West,01,BW01,BW01,BHW_1,.bwa.bam,BHW_1.bwa.bam,27-Jul-22,44.25515,68.34805,2-2.5
Bass Harbor West,BW,Bass Harbor West,02,BW02,BW02,BHW_2,.bwa.bam,BHW_2.bwa.bam,27-Jul-22,44.25529,68.34782,1.5-2
Bass Harbor West,BW,Bass Harbor West,03,BW03,BW03,BHW_3,.bwa.bam,BHW_3.bwa.bam,27-Jul-22,44.25537,68.34785,0.5-1
Bass Harbor West,BW,Bass Harbor West,04,BW04,BW04,BHW_4,.bwa.bam,BHW_4.bwa.bam,27-Jul-22,44.25533,68.34781,1-1.5
Bass Harbor West,BW,Bass Harbor West,05,BW05,BW05,BHW_5,.bwa.bam,BHW_5.bwa.bam,27-Jul-22,44.25542,68.34801,2-2.5
Bass Harbor West,BW,Bass Harbor West,06,BW06,BW06,BHW_6,.bwa.bam,BHW_6.bwa.bam,27-Jul-22,44.25514,68.34813,1.5-2
Bass Harbor West,BW,Bass Harbor West,07,BW07,BW07,BHW_7,.bwa.bam,BHW_7.bwa.bam,27-Jul-22,44.2551,68.34825,2
Bass Harbor West,BW,Bass Harbor West,08,BW08,BW08,BHW_8,.bwa.bam,BHW_8.bwa.bam,27-Jul-22,44.25515,68.34811,0.5-1
Bass Harbor West,BW,Bass Harbor West,09,BW09,BW09,BHW_9,.bwa.bam,BHW_9.bwa.bam,27-Jul-22,44.25516,68.34811,1-1.5
Bass Harbor West,BW,Bass Harbor West,10,BW10,BW10,BHW_10,.bwa.bam,BHW_10.bwa.bam,27-Jul-22,44.25517,68.34812,1-1.5
Bass Harbor West,BW,Bass Harbor West,11,BW11,BW11,BHW_11,.bwa.bam,BHW_11.bwa.bam,27-Jul-22,44.25517,68.34813,2.5-3
Bass Harbor West,BW,Bass Harbor West,12,BW12,BW12,BHW_12,.bwa.bam,BHW_12.bwa.bam,27-Jul-22,44.25517,68.34816,1-1.5
Bass Harbor West,BW,Bass Harbor West,13,BW13,BW13,BHW_13,.bwa.bam,BHW_13.bwa.bam,27-Jul-22,44.25517,68.34817,1-1.5
Bass Harbor West,BW,Bass Harbor West,14,BW14,BW14,BHW_14,.bwa.bam,BHW_14.bwa.bam,27-Jul-22,44.25517,68.34818,1-1.5
Bass Harbor West,BW,Bass Harbor West,15,BW15,BW15,BHW_15,.bwa.bam,BHW_15.bwa.bam,27-Jul-22,44.25518,68.34818,1-1.5
Bass Harbor West,BW,Bass Harbor West,16,BW16,BW16,BHW_16,.bwa.bam,BHW_16.bwa.bam,27-Jul-22,44.25521,68.3481,1-1.5
Bass Harbor West,BW,Bass Harbor West,17,BW17,BW17,BHW_17,.bwa.bam,BHW_17.bwa.bam,27-Jul-22,44.25535,68.3478,0.5-1
Beaver Dam,BD,Beaver Dam Pond,01,BD01,BD01,BDP_1,.bwa.bam,BDP_1.bwa.bam,28-Jul-22,44.35958,68.19608,0.5-1
Beaver Dam,BD,Beaver Dam Pond,02,BD02,BD02,BDP_2,.bwa.bam,BDP_2.bwa.bam,28-Jul-22,44.35954,68.19596,1
Beaver Dam,BD,Beaver Dam Pond,03,BD03,BD03,BDP_3,.bwa.bam,BDP_3.bwa.bam,28-Jul-22,44.35966,68.19597,2-2.5
Beaver Dam,BD,Beaver Dam Pond,04,BD04,BD04,BDP_4,.bwa.bam,BDP_4.bwa.bam,28-Jul-22,44.35966,68.19595,3
Beaver Dam,BD,Beaver Dam Pond,05,BD05,BD05,BDP_5,.bwa.bam,BDP_5.bwa.bam,28-Jul-22,44.35967,68.19596,0.5
Beaver Dam,BD,Beaver Dam Pond,06,BD06,BD06,BDP_6,.bwa.bam,BDP_6.bwa.bam,28-Jul-22,44.35969,68.19596,0.5
Beaver Dam,BD,Beaver Dam Pond,07,BD07,BD07,BDP_7,.bwa.bam,BDP_7.bwa.bam,28-Jul-22,44.35974,68.19594,0.5
Beaver Dam,BD,Beaver Dam Pond,08,BD08,BD08,BDP_8,.bwa.bam,BDP_8.bwa.bam,28-Jul-22,44.35973,68.19593,0.5
Beaver Dam,BD,Beaver Dam Pond,09,BD09,BD09,BDP_9,.bwa.bam,BDP_9.bwa.bam,28-Jul-22,44.3594,68.19623,<0.5
Beaver Dam,BD,Beaver Dam Pond,10,BD10,BD10,BDP_10,.bwa.bam,BDP_10.bwa.bam,28-Jul-22,44.35936,68.19619,<0.5
Beaver Dam,BD,Beaver Dam Pond,11,BD11,BD11,BDP_11,.bwa.bam,BDP_11.bwa.bam,28-Jul-22,44.35936,68.1962,0.5
Beaver Dam,BD,Beaver Dam Pond,12,BD12,BD12,BDP_12,.bwa.bam,BDP_12.bwa.bam,28-Jul-22,44.35937,68.19623,<0.5
Beaver Dam,BD,Beaver Dam Pond,13,BD13,BD13,BDP_13,.bwa.bam,BDP_13.bwa.bam,28-Jul-22,44.35937,68.19622,<0.5
Beaver Dam,BD,Beaver Dam Pond,14,BD14,BD14,BDP_14,.bwa.bam,BDP_14.bwa.bam,28-Jul-22,44.35947,68.19623,>3
Beaver Dam,BD,Beaver Dam Pond,15,BD15,BD15,BDP_15,.bwa.bam,BDP_15.bwa.bam,28-Jul-22,44.35937,68.19621,0.5
Beaver Dam,BD,Beaver Dam Pond,16,BD16,BD16,BDP_16,.bwa.bam,BDP_16.bwa.bam,28-Jul-22,44.35936,68.19616,0.5
Beaver Dam,BD,Beaver Dam Pond,17,BD17,BD17,BDP_17,.bwa.bam,BDP_17.bwa.bam,28-Jul-22,44.35954,68.19621,<0.5
Beaver Dam,BD,Beaver Dam Pond,18,BD18,BD18,BDP_18,.bwa.bam,BDP_18.bwa.bam,28-Jul-22,44.35973,68.19624,<0.5
